亚洲苏神,6594000,557000,未知,主播一枚，别名：王德发
亚洲带你瘦,86000,155000,未知,橱窗有视频教程可定制一对一训练计划我是亚洲，带你变瘦！健美协会认证国职教练西安体院运动人体科学学士西安体院武术中心教练员每日分享简单有效的健身教程总有比你优秀的人还在努力！
阿皮亚洲,2227000,334000,未知,点关注领取你的靓女阿皮亚洲-你若降得住我 我便满眼都是你hz：OSTSW002（非本人）
亚洲雄风,3277000,346000,外交部亚洲司官方抖音号,了解周边外交，关注亚洲雄风。
亚洲醋王,1566000,244000,未知,: 亚洲醋王X
亚洲秀,2872000,875000,未知,这个是号感谢大妹子小姐们的关注缺供货的，要好看的
夢想家林志穎,12236000,6571000,台湾歌手，演员,商务信箱:leadspeed1@qq.com
周琦,7462000,1009000,中国男篮国家队成员,合作对接：official@new-level.cn
范志毅范大将军,2716000,1107000,亚洲足球先生范志毅,亚洲足球先生 中国足球先生中国体育人一个热爱中国足球的普通球迷抖音合作V15921477718
ATV-亚洲电视,1333000,346000,亚视电视,ATV（亚洲电视）唯一官方抖音号所有作品都是亚视原创经典商务合作请私信
亚洲神童小布丁,4052000,440000,未知,励志喜剧演员，中央电视台及各大卫视专访励志报道；欢迎关注和点，关注点越多作品越多，不定时直播，感谢抖音平台!
中国职业拳手 曲鹏,1419000,191000,OPBF亚洲银腰带、WBC亚洲金腰带获得者,获得WBC次重量级亚洲金腰带获得OPBF次重量级亚洲银腰带获得WBO轻重量级中国区金腰带Machine亚太区品牌形象代言人拍摄、代言、教学、签约微：13003230089
洲洲（鹿家门-苗亚洲）,2277000,132000,未知,/ 洲洲同学师承IFBB PRO李金波 排行肆miaoyazhou99（线上线下指导）WP奥力营养KOL
亚洲雄风_93672,155000,286000,未知,谢谢支持和关注我的每一位朋友，你开心我快乐
王森-亚洲之光,1952000,339000,演员,用真诚的表演和你分享真实的生活。不時不定期在抖音直播來和你聊天影视作品：《战狼》《虎妈猫爸》《人不彪悍枉少年》《少年班》《致我们终将逝去的青春》《超级教师》《外科风云》《柒个我》《好久不见》《上海堡垒》《大宋北斗司》《两只老虎》《哥》《完美关系》《斛珠夫人》等…综艺：《演员请就位》vb：@王森w工作联系：909623154@qq.com
张雪菲（亚洲锦标赛冠军）,3275000,445000,未知,菲练不可女子健身学院.培训女子精准力量训练健身教学线下peixun班1,女子系统训练ban（21天）4月1日2.女子冠军训练ban（4天）3月25日～28日服务人群：一对一私教、小白爱好者，健身教练技能培训，备赛运动员，线下学生5000人国家队A队运动员，2018一2022年入选国家队A队，亚洲锦标赛冠军，多届全国冠军及全场冠军IFBB PRO运动员，国家一级裁判员，培训导师
王大爷.亚洲男神,1655000,106000,未知,每天努力一点点告别迷茫，努力成长 √ ️：dywdy1171
世界小姐昕昕,6842000,1073000,未知,亚洲最高超模 188cmMIT世界旅游小姐冠军国家一级排球运动员️每晚20:00直播，昕宝儿等你们哦！
CNBeatbox,22288000,2334000,CNBeatbox官方账号,中国BEATBOX锦标赛官方账号网上教学视频很多如果还学不会请给我们发消息
Beatboxer张泽,14881000,2498000,未知,网易云:beatboxer张泽瑞士世界bbx大赛评委
圣和,16879000,1494000,圣和官方账号,硬核纪念馆你品... 你细品...期待您的关注与建议粉丝一群（满）粉丝二群（满）粉丝三群（满）粉丝四群欢迎你
亚洲你东哥,1793000,138000,未知,我是你们的老朋友-亚东舞剧《昭君出塞》饰-卫疆中国荷花杯金奖-《戈壁沙丘》感谢大家一路的陪伴和支持
形体女王（亚洲锦标赛冠军）,684000,136000,未知,大家好，我是大军第53届亚洲锦标赛冠军多次全国锦标赛、冠军总决赛全场冠军承蒙厚爱，感谢大家关注橱窗有好物师承：张惠明（江苏连云港）线上线下课程｜减脂、备赛、增肌、收徒（备注来意）个人：cxj140302商务V：IFBBchen1995已有男友，勿扰
亚洲演说天王,26000,113000,未知,杜老师：用生命用演说帮助更多人实现财富自由
是你的伊然,10799000,1052000,未知,化妆品高级配方师、健康管理师、新浪风格大赏“年度成分专家”亚洲知名美肤专家、明星私人美容专家 15年从业经历著作《你伊然美丽》《伊然爱你》《伊然美丽·从怀孕开始变美的魔法》专业护肤分享、全面的身心调理知识小助理抖音号：26783869008合作（注明来意）dahuadahua66join us：hr@xingxiutech.com
亚洲小海哥,1350000,151000,未知,你开心，我更新，耶
