长江新闻号,1,12918000,湖北卫视《长江新闻号》官方抖音账号,坐拥长江 纵论天下
新闻启示录,7,16193000,福建电视台新闻评论部官方抖音账号,可爱的你 关注着我 福建综合频道20:04播出
波斯秘语,6199000,646000,杭州波嘻购电子商务有限公司,大家好，我是来自伊朗的孟雅琪。十年中文导游让我有幸与中国朋友结缘；希望能为中伊友谊做更多力所能及的事；波斯秘语高品质伊朗藏红花在我的小店；2022愿世足和平，祝中伊友谊长存。我的小号 ：孟雅琪爱旅行头条/西瓜：波斯秘语
兵鉴堂,1,9316000,神鸟知讯融媒体军事栏目,纵观天下，洞察环球；VX公号：小神兵，CNworriors
看看新闻Knews,2,19768000,看看新闻官方抖音号,天下大事，看东方卫视
第一军情,63016000,20915000,第一军情官方抖音号,观军事 知天下
央视网快看,10,27998000,央视网新闻频道官方抖音号,央视网原创短视频，在这里，看见世界。
无飞食品店。,1310,117000,无飞食品店官方账号,我是菲菲专注伊朗藏红花因为年轻，所以无所畏惧敢于揭密行业内幕，为大家介绍藏红花知识
湖州啊哇贸易有限公司每天上午10点直播,12338000,326000,湖州啊哇贸易官方账号,来自伊朗的玫瑰精油玫瑰精华纯露提升脸部紧致肌肤改善鱼尾纹干纹细纹眼袋修复各种问题肌肤给自己一个机会来认识FQ品牌的玫瑰系列
绝对军视,10425000,2368000,国防时报历史栏目官方账号,此用户没有填写简介
来点石锤,24143000,544000,正能量抖音账号,锤石点来
