土耳其阿布,13760000,1251000,未知,来自浪漫的土耳其“嫁”到中国十多年热爱多元素的中国文化记录及分享在中国的生活
土耳其 坎高,3065000,181000,未知,私人玩家，养殖土耳其坎高犬，长年对外出售幼犬，本号宠粉狂魔，只要是宠物上的问题都可以咨询
米娜爷爷,39330000,3717000,未知,感谢大家的喜爱联系：enes1006
爱喝咖啡的丹尼斯,1837000,175000,未知,本周日19:30直播做土耳其咖啡。土耳其咖啡文化和研究协会土耳其精品咖啡协会STC谢谢大家的关注！
北巷电影,680000,115000,未知,感谢官方！！！感谢抖音！！！
新闻启示录,7,16194000,福建电视台新闻评论部官方抖音账号,可爱的你 关注着我 福建综合频道20:04播出
半甜仔说剧,1443000,220000,未知,专注影视剧解说愿每个平凡的日子都溢出欢喜
慵石客,899000,153000,未知,大家来一起赏析国外高分剧集呀！土剧《处处有你》更新中
凌凌柒说电影,2343000,395000,未知,更新可能会迟到，但不会缺席风格不定，什么剧都更
黑巴电影,832000,184000,未知,人生如戏 戏如人生一个有梦想的影视解说感谢每位铁粉儿的关注学习/合作：HB-Movie（备注来意）
七沐电影,2062000,442000,未知,一个用心解说影视的靓仔。
晴天讲电影,2485000,494000,未知,土耳其神剧《我的另一面》
聊台球,3619000,391000,未知,老一代的职业球员，从事台球行业20多年，为爱好者分享台球知识。
丁俊晖,29045000,7039000,中国斯诺克选手,中国初级卫生保健基金会公益形象大使
池一电影,2823000,224000,未知,剧荒了吗？来这里持续更新【社内相亲】
迷影,2752000,561000,未知,<承诺>系列已完结～
飞鲁影视,1811000,231000,未知,你想看的，这里都有～不会一剪梅 各位放心～
布致岛电影,13752000,1511000,未知,电影改变人生______________带给你正能量带给你好心情合作交流复制抖音号诚招优秀文案写手，丰厚
小幺七影视,1485000,241000,未知,若流量不好会先更新剧拉流量，但不会弃剧，后续会更完，谢谢体谅影视解说韩剧、日剧、土剧交流学习：xiaoyaoqi227中文原版：Worldruler1
