扒圈圈,2,1529000,娱乐视频自媒体,更新明星资讯、爆笑综艺、沙雕剧情系列wb同名
罗伯托卡洛斯,2494000,592000,巴西足球巨星,皇家马德里足球俱乐部机构关系总监、亚太区形象大使。商务合作：Sergio@footwork.cn
王姑娘在巴西,1039000,136000,未知,老板：来一套煎饼果子，不要葱
华人在巴西,2765000,180000,未知,此用户没有填写简介
弟球说个球,6642000,2221000,未知,升级你的知识库！聊点你想知道的大事小情！ 一个月最多接一次星图，请放心食用！！合作: z475887389（注明来意）注：本人只有一个账号，没有在其他机构学习过
封面新闻,13,26884000,封面新闻-华西都市报官方账号,原《华西都市报》官方账号：在封面新闻，了解权威信息，看真实新闻故事关注我，每日幸运值+1
环球网,18,32315000,环球网官方账号,世界那么大，环环带你看天下。官方商务合作或新闻投稿 vx：hqmrrs（请注明来意）
北京宝哥,11595000,879000,未知,睡前原谅一切醒来便是重生！
小罗姐（西瓜视频和头条：巴西威廉的妈咪）,79000,133000,未知,居住在巴西十二年的广西妹，有着一颗乡愁的心！生活中酸甜苦辣，我依然砥砺前行，相信没有过不去的坎，坚强走下去！感恩在抖音遇见大家，真诚交友，谢谢你们陪我走过风雨！ 往后余生，怀感恩的心生活！
HP至高点,5054000,243000,未知,主理人：巴西仔 《Young teen creat an Young team》不定时更新团队店铺动态/好物分享驾驭推送：Highpointstore666 ：Hpbusiness
庆丰龟业,1632000,324000,玉林市庆丰龟业经营部,“宠不凡水族”晚上9点直播。抖音直播随缘，证件齐全合法养龟收退坑龟
Uking国际,6347000,267000,山西亿通佳运国际贸易有限公司,Uking国际每天给大家带来有趣的国外冷知识帮助您在海外更好的生活~网购国内商品，转运至全球；专线客服24小时一对一服务；免费仓储，专业打包，协助清关，当天发出咨询请拨打主页电话或私信留言哦～
巴柔之家,462000,116000,未知,巴西柔术技术科普，bjjfanatics柔术教学翻译官方微信：mybjjs欢迎添加微信，获取各种柔术教学及翻译巴柔之家专注于为国内的柔术教练和爱好者提供优秀的国外教学和翻译服务
Yunus大师兄,3012000,402000,优质格斗领域创作者,巴西柔术冠军+本地外国人+很差的中文DEFGROUP/SHBJJ CA馆 经理&总教练第一个在中国成长并且获得世界冠军赛金牌的巴西柔术运动员AJP世界冠军赛冠军 / 2X IBJJF 亚洲公开赛冠军多次：中国(大陆，香港，台湾), 韩国，非鲁宾 冠军全网同名VX(馆)：DEF_CA
三只蜘蛛的故事,1062000,130000,未知,欢迎云养蜘蛛一起来关注逗比大V、暴躁小V和温柔金仔的成长吧大V和小V是女孩纸金仔和橘子是男孩纸所有蜘蛛均为养殖宠物
我为乌龟做牛马,1156000,240000,未知,原创观赏龟饲育视频 / 养龟生活记录与分享痴深养龟爱好者 / 持证养殖企业主 / niuma-studio
战斗柔术 降伏摔跤,2967000,221000,未知,可以锁的摔跤可以击打的柔术【信阳学习柔术摔跤】【无道服巴西柔术】【降伏式摔跤】【只限成人】搜：【柔术摔跤馆】小程序注明来意XYCJJ10th
格斗大叔,3471000,572000,未知,#综合格斗#巴西柔术格斗爱好者 + gedoudashu
足球知典,25981000,407000,优质足球领域创作者,·不看足球 就不懂足球的意义·最纯粹的足球 最高的享受·看直播Baidu米8直播·制作/代运营/合作 可私信
内马尔NeymarJr,4640000,1314000,巴西国家队、巴黎圣日耳曼俱乐部足球运动员,I love Football
八溪路亚,352000,173000,甘肃海澳渔具有限公司,独具匠心打造个性八溪风，只因路亚服务于高端玩家。八溪路亚设计师阿海拥有18年国内外“全系列路亚饵”生产与设计生涯，途中三次创业失败，通过坚持不懈的努力，从新再次成立路亚饵代工厂，喜欢原创路亚饵请点关注！感谢你的大力支持！
八喜的小姐姐,3521000,225000,未知,抖音，记录八喜美好生活。
柴犬八喜,7533000,636000,未知,八喜：标体柴犬 2018.07.22咪咪：布偶猫咪 2021.05.12商务：Baxi0722
八喜,4149000,201000,未知,回归啦，开始发力一个普通男孩的努力之旅，欢迎跟我一起成长
