美哥在拉丁美洲『回家乡』,776000,694000,未知,在拉丁美洲生活六年现已回国记录家乡生活
美哥在拉丁美洲,4229000,140000,未知,生活要充实#
探索世界（地理、地形图）,3687000,1061000,未知,人文历史，地理百科等知识分享！每天不定时更新！懂得感恩、感谢关注，感谢点赞！再次感谢！（部分素材来源于网络，如有侵权，请联系删除，谢谢）☞☞☞
港龙舞蹈拉丁舞,57729000,2248000,深圳市港龙文化体育有限公司,【港龙舞蹈官方账号】专注于国标舞培训23年；深圳、广州24家直营校区；专业拉丁舞教师；成人少儿8级分班教学；3-80岁，零基础均适学。点击【商品橱窗】报名深圳/广州校区拉丁舞精品课哦
上海YES舞蹈～拉丁辣妹,5836000,405000,未知,上海YES高端拉丁舞服舞蹈辣妹穿搭每周不定时直播：模特女孩菠萝妹Dancebaby &贝蒂品牌官方带盐人
美洲报姐,5062000,3061000,未知,此用户没有填写简介
布鲁克林篮网队,12147000,1372000,布鲁克林篮网队官方抖音号,来自布鲁克林的问候，篮网队正式入驻抖音！
拉丁容嬷嬷,13195000,471000,未知,自己备针，排队等扎！（嬷嬷唯一正牌账号）
伊伊小师妹（每周二、周四19:00直播）,5683000,1026000,财经自媒体,证券风口题材分享，欢迎交流直播时间：每周二、四 19:00抖音唯一账号，关注伊伊，一起唠点财经嗑
金融学家宏皓教授,4909,497000,未知,宏皓教授金牌企业课程《打造产业集群 做大企业财富蛋糕》为企业解决市场、品牌、投资、资本运作、产业整合升级、产业园招商难题，是产业集群模式的创建者，是整合上市与资本运作权威实战专家。商务合作、企业咨询顾问、培训论坛邀请联系wx：13501012771
吉容良易学问道【每周六线下见面会】,218000,134000,未知,国学交流：jidashi12345易经研究三十载数术贯通，积德行善每日一悟粉丝，短视频国学陪跑 ： jidashi12345
大洪洪文化（每周二、四、六早8点开播）,12180000,3184000,上海大洪洪文化传媒官方账号,商务、品牌合作，请抖音私信我我不直播的时候，请移步（大洪洪服饰穿搭日记）是我们自家小号任何主动私信你的都是骗子，谨防上当
兆阳拉丁舞,3638000,329000,兆阳舞蹈官方账号,专注于拉丁舞教学，分享精品教学视频和拉丁舞音乐。
于鑫淼（足球解说）,10422000,671000,解说员于鑫淼,集齐解说【奥运会、世界杯、欧洲杯、亚洲杯、美洲杯、欧冠、欧联、欧超杯、世俱杯、亚冠、解放者杯、五大联赛、中超】的90后解说员内在：7岁开始混论坛的老喷子——————合作邮箱：josemiao1899@gmail.com
关关拉丁舞,788000,139000,关关教育咨询官方账号,哪有什么一鸣惊人，不过是十年如一日的坚持，坚持每一次的舞蹈课都要用心教，人生所有技能都是学来的，不忘学习哦直播时间：每周一 周二 周四 周五 上午9.00 晚上7.00
骨科健将常医生（每周四晚20：00直播）,8640000,1293000,陕西中医药大学附属医院骨科主治医师 常春峰,门诊：每周六08：00～12：00省级公立三甲医院骨科主治医师健康科普中国多媒体骨科负责人吉林大学白求恩医学部骨科毕业
Tracy董博文（每周三五晚6点直播）,2310000,839000,抖音电商好物推荐官,心上创始人中国包包和手表最多的女人福布斯榜中国商界25位女性之一有趣的灵魂+拼搏的人生是文子姐的座右铭，一起共勉商务合作：DBWshangwu小助理：Tracy_xs0318
Dr.赵瑞钦（每周二7：30直播）,2794000,498000,河南中医药大学三附院生殖中心科室主任 赵瑞钦,赵瑞钦，女，毕业于复旦大学医学院（原上海医科大学），研究生学历，副主任医师，硕士生导师，医学博士，河南中医学院第三附属医院不孕与遗传诊疗中心和妇科主任。
紧尔固机械零件修复 （每周三晚8点直播）,351000,115000,宁波紧尔固机械零件修复技术有限公司,专业从事各种机械零件修复再制造经验20余年修复后的机械零件质量可达到或超过新品标准 提供新产品的耐磨、耐腐蚀、耐高温解决方案 提供激光熔覆激光淬火等离子堆焊设备工艺技术支持 分享我帮客户解决各种零件的磨损、腐蚀、断裂、加工超差、铸造缺陷等修复经验。分享各种材料的凝难焊接工艺。提供大型不解体零件现场修复解决方案。提供各种金属表面修复设备、增材制造与再制造设备工艺技术及人才培训交钥匙工程。
每周严选,17000,651000,未知,用幸福记录生活，快乐分享每一天！
美舟,6192000,511000,未知,所有文案原创于自己，这里是我的三观，是我普通的生活方式，是独特我自己的真实状态
爆胎草莓粥,2,12924000,人气视频创作者,谢谢大家喜欢小号:爆胎儿vb: 爆胎草莓粥-张馨文工作联系vx: Nikkyiuu2
广益羽球（每周三四六日晚上直播分享干货）,1002000,248000,未知,“广益羽球课堂”创始人前马来西亚国家队队员每周三四六日晚上8：30分直播分享干货！培训计划质询2小时 2w
佳艳小马哥每周一中午12点开播,2458000,463000,佳艳影楼用品商行官方账号,小马哥、服务全国化妆师20年关注我、每天展示各类新款头饰小马哥的存在就是为化妆师谋福利
人本鞋类旗舰店（每周日休）,23000,423000,人本帆布鞋服装零售店,如果不知道明天穿什么那就穿人本鞋吧30年实体10年电商只推荐性价比高舒适度好的【人本帆布鞋】在穿鞋中带你体会百态人生”
梅州吃喝玩乐,643000,131000,未知,搜罗全梅州，解决哪里好吃，哪里好玩两大难题关注我，吃喝玩乐不迷路 探店V：455091626
清雅穿搭：（每周二至周五开播）,3836000,563000,安徽云岚时装有限公司,分享甄嬛日常穿搭定位知性优雅气质 温柔恬淡风每周二至周五直播并非颜值博主男粉勿扰定时清男粉感谢大家喜欢
我是二宝妈（每周1、2、3晚22点直播）,2724000,254000,未知,80后单亲妈妈，飞行19年刚刚离职独自做抖音一年了看我每天用力的活着商务合作：85204925
肉嘟嘟的胖莹莹（每周四周日晚9点半）,13429000,1622000,未知,大码模特店主- 胖仙女莹莹大码：胖仙女莹莹呀尽管我肉肉很多，但是我可爱.温柔.自信.阳光.对生活充满信心！加油！
老酒之家·每周二、四直播,6369000,2551000,老酒之家官方账号,每周二、周四晚八点直播，白酒红酒洋酒全都有。招人。招主播、电商运营、客服、视频剪辑、美工。工作地址：深圳福田。投简历请私信。买货点下方↓↓↓商品橱窗，除抖音外的其它平台以老酒之家名义开的店铺均为假冒，特此声明！
