张 浩在非洲,35994000,2304000,未知,5年前独自一人闯荡非洲粉丝破300万就直播心存善念，品行端正，懂感恩，将会处处遇贵人。不求大红大紫 只求付出与收获平等。
非洲hello先生,19387000,1202000,未知,你我遇见，不仅仅是偶然。感谢一路有你，感谢一路陪伴。100万粉丝直播。
蛋蛋带你看世界,10995000,546000,未知,商务：ZD19960666梦想着世界各地旅游创业工作本人小学文化 行万里路来阅历人间百态看看世界各地生活习俗，拍视频记录留作纪念，只为今生不留遗憾。有梦想就去追，只有奋斗才能改变命运。感谢大家一路支持！！
小辛巴海外旅行,1173000,114000,未知,现居非洲赞比亚 带大家了解非洲的风土人情主播出于农民 馈于百姓农民的儿子 百姓的主播做好每一件自己该做的事感恩每一位帮助过我的人一句话 雄起！
走进东非,41138000,2172000,未知,大家好，我是鹏飞常驻非洲近10年，以前做英语翻译；经过长期探索，下定决心专注做水晶珠宝；创立鹏飞珠宝，又设立非洲办事处随着品类增多，业务也分为成品和原矿；水晶矿石和矿物标本，水晶洞球等在小号@鹏飞矿晶；高货精品在小号@鹏飞珠宝高货；日常随拍，生活记录分享在@我是鹏飞公司总部在江苏，卢旺达，纳米比亚为办事处；直播已加入抖音东海直播基地，全部保真；下单会从江苏东海发货，保证一物一证
非洲十年,62987000,5407000,未知,投身非洲，碰撞另一个世界在这里，你可以成为任何你想成为的人YOU CALL IT AFRICA, WE CALL IT HOME深入了解非洲请JoinAfricaS
楠哥闯非洲(luca),24449000,1427000,未知,举牌特产 楠哥本人号heihanhan2商务合作：banannan2
非洲卢旺达,12208000,463000,未知,记录非洲
小龙闯非洲,4033000,1930000,未知,2016启程非洲工作2021开始非洲创业这里没有段子与恶搞日常生活与创业过程商务合作＋V：X150135X
小克在非洲,43786000,1438000,未知,每一次善行都不会被遗忘，每一次善心都不该被辜负：tong070428
大卫在非洲,1750000,160000,未知,关注我，带你看最最最真实的非洲生活！关注我，带你了解最最最善良的非洲人民！
中国日报,14,31128000,中国日报社官方账号,全球精彩短视频，就看中国日报！
纪录每个故事,3168000,648000,未知,纪录每个故事，把我看到的纪录分享给大家
走进非洲,6017000,481000,未知,视频拍摄: ab771098
非洲2020,321000,150000,未知,非洲辣木籽和卡宾达树皮，需要做小视频广告的联系我微信，s996239375
云上南阳,5,11525000,南阳广播电视台官方抖音号,在南阳用“云上南阳”App就够了！投稿邮箱:bixiaofeng977@163.com商务合作:13333608903（微信同号）电商合作:13333608903（微信同号）
小帅带你看非洲,3022000,191000,未知,位于非洲赞比亚。为大家分享非洲生活。感谢大家的关注和小红心。
非洲小瑞,1694000,247000,未知,xr20191228现居非洲赞比亚跟国内时差6个小时感谢抖音官方平台，不忘初心，方得始终我只管努力剩下交给天意，感谢各位帅哥美女的关注
非洲酋长,1469000,161000,未知,huzige2234祝福
