张 浩在非洲,35994000,2304000,未知,5年前独自一人闯荡非洲粉丝破300万就直播心存善念，品行端正，懂感恩，将会处处遇贵人。不求大红大紫 只求付出与收获平等。
非洲十年,62986000,5407000,未知,投身非洲，碰撞另一个世界在这里，你可以成为任何你想成为的人YOU CALL IT AFRICA, WE CALL IT HOME深入了解非洲请JoinAfricaS
小龙闯非洲,4033000,1930000,未知,2016启程非洲工作2021开始非洲创业这里没有段子与恶搞日常生活与创业过程商务合作＋V：X150135X
非洲hello先生,19386000,1202000,未知,你我遇见，不仅仅是偶然。感谢一路有你，感谢一路陪伴。100万粉丝直播。
素素在非洲,13647000,1065000,未知,生活对于我来说不是索取，而是奋斗若恰好到了这里，不妨留个关注。
非洲时光,10429000,748000,未知,xiyang9092感谢你的关注
走进东非,41138000,2172000,未知,大家好，我是鹏飞常驻非洲近10年，以前做英语翻译；经过长期探索，下定决心专注做水晶珠宝；创立鹏飞珠宝，又设立非洲办事处随着品类增多，业务也分为成品和原矿；水晶矿石和矿物标本，水晶洞球等在小号@鹏飞矿晶；高货精品在小号@鹏飞珠宝高货；日常随拍，生活记录分享在@我是鹏飞公司总部在江苏，卢旺达，纳米比亚为办事处；直播已加入抖音东海直播基地，全部保真；下单会从江苏东海发货，保证一物一证
非洲小五,5773000,1598000,未知,泉城济南诞生，青岛成熟长大。非洲创业三年，主营海外特产。爱好旅游探险，记录美好生活。努力大于理想，我一直在路上！
闯非洲小胖子,1,5337000,未知,在非洲莫桑比克工作（回国休假中）更新库存商务合作：17367083905 个人专用：DCS761392585(互相交流V）个人专用2:DCC761392585（互相交流V）
小鹿的非洲生活,19845000,2019000,未知,走进非洲。@小鹿在非洲
非洲小老弟,6482000,580000,未知,感谢你的关注xiyang9092
非洲飞哥（正能量）,428000,788000,未知,闯非洲第八年，我们一起走进非洲
非洲卢旺达,12208000,463000,未知,记录非洲
《非洲》！,1068000,116000,未知,喀麦隆的生活真潇洒!
非洲飞哥,3273000,320000,未知,终于等到你
非洲酋长,1469000,161000,未知,huzige2234祝福
非洲之旅,1218000,185000,未知,感谢抖音平台让我们相遇缘分让你我他在一个平台，让我们快乐，做一个虚拟的大家庭,找我商业合作微(yy0000yyxh)
非洲帅哥波波,19929000,1668000,未知,我叫波波，来自非洲卢旺达，特别喜欢中国和中国文化。2017年代表我的国家来到中国参加世界汉语桥比赛所有作品均无对口型都是本人真人真唱(我没有任何小号）
楠哥闯非洲(luca),24449000,1427000,未知,举牌特产 楠哥本人号heihanhan2商务合作：banannan2
小克在非洲,43786000,1438000,未知,每一次善行都不会被遗忘，每一次善心都不该被辜负：tong070428
非洲-柴进进,4543000,453000,未知,助人为乐胃心：1–8–3--3--1–8--4–4--4--4—3仅此一个、胃能帮则帮，好人一生平安温-馨-提-示——不-私-本人从事工程机械维修，不是很专业、但是很认真
非洲大表哥,1021000,145000,未知,此用户没有填写简介
非洲冒险王,10756000,641000,未知,此用户没有填写简介
