美哥在拉丁美洲『回家乡』,776000,697000,未知,在拉丁美洲生活六年现已回国记录家乡生活
美哥在拉丁美洲,4230000,141000,未知,生活要充实#
探索世界（地理、地形图）,3656000,1054000,未知,人文历史，地理百科等知识分享！每天不定时更新！懂得感恩、感谢关注，感谢点赞！再次感谢！（部分素材来源于网络，如有侵权，请联系删除，谢谢）☞☞☞
港龙舞蹈拉丁舞,57724000,2257000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="27057fc2-1751-42d0-b0d6-6dd95295f028")>,【港龙舞蹈官方账号】专注于国标舞培训23年；深圳、广州24家直营校区；专业拉丁舞教师；成人少儿8级分班教学；3-80岁，零基础均适学。点击【商品橱窗】报名深圳/广州校区拉丁舞精品课哦
单色舞蹈拉丁舞,4894000,614000,未知,单色舞蹈——拉丁舞板块学拉丁舞v：danse365单色国际（连锁）舞蹈培训（16年教学历史）零基础进修拉丁舞：师资班/兴趣班/私教/集训另外不便实地学习可选直播课（报1次/学1年）部分课程需要提前预定，所有课程均可试课
葡萄影视,1324000,430000,未知,记录真的非洲，让更多的人关注到他们 学习交流 xia0456921314 来了就留个关注谢谢
港龙舞蹈圈国标少年,52768000,2524000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="8b285816-3fa9-41fa-ac05-a17ed4ef03c2")>,拉丁舞&摩登舞，为青少年比赛&集训记录美好瞬间！
都灵拉丁舞,6120000,557000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="8b6364d1-c32f-475a-a33f-4fe6ae98744b")>,德艺双馨，素质教育先行者，成就孩子美好一生！常熟市都灵拉丁舞创办13年，12月7-9号，拉丁舞教学法全国教师集训，欢迎大家！专业开设少儿班、成人班、全国教师集训、全国舞蹈学校运营管理课！
上海YES舞蹈～拉丁辣妹,5818000,405000,未知,上海YES高端拉丁舞服舞蹈辣妹穿搭每周不定时直播：模特女孩菠萝妹Dancebaby &贝蒂品牌官方带盐人
美洲报姐,4993000,3019000,未知,此用户没有填写简介
布鲁克林篮网队,11517000,1365000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="bc618a5c-3232-48f1-ada3-45416cce400d")>,来自布鲁克林的问候，篮网队正式入驻抖音！
拉丁容嬷嬷,13179000,472000,未知,自己备针，排队等扎！（嬷嬷唯一正牌账号）
金融学家宏皓教授,4730,495000,未知,宏皓教授金牌企业课程《打造产业集群 做大企业财富蛋糕》为企业解决市场、品牌、投资、资本运作、产业整合升级、产业园招商难题，是产业集群模式的创建者，是整合上市与资本运作权威实战专家。商务合作、企业咨询顾问、培训论坛邀请联系wx：13501012771
兆阳拉丁舞,3637000,329000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="c8f6d39b-5d20-440f-9961-6fd4dfe56ddc")>,专注于拉丁舞教学，分享精品教学视频和拉丁舞音乐。
关关拉丁舞,761000,136000,<selenium.webdriver.remote.webelement.WebElement (session="bc3b60f2ff6895aa98549cd8411e2d56", element="64bfa0fe-8379-4a48-b7b4-ac3af2c07d45")>,哪有什么一鸣惊人，不过是十年如一日的坚持，坚持每一次的舞蹈课都要用心教，人生所有技能都是学来的，不忘学习哦直播时间：每周一 周二 周四 周五 上午9.00 晚上7.00
